C_TERRITOIRE_ID;C_LBLTERRITOIRE;C_DEPARTEMENT_ID;C_LBLDEPARTEMENT;C_REGION_ID;C_LBLREGION;TX_ACCESM6;TX_PRESEMPM6;TX_ACCESM6_D;TX_PRESEMPM6_D;DELTA_TX_ACCESM6;DELTA_TX_PRESEMPM6;TERRITOIRE_PROCHE1;TERRITOIRE_PROCHE2;TERRITOIRE_PROCHE3;TERRITOIRE_PROCHE4;TERRITOIRE_PROCHE5;TERRITOIRE_PROCHE6;TERRITOIRE_PROCHE7;TERRITOIRE_PROCHE8;TERRITOIRE_PROCHE9;TERRITOIRE_PROCHE10
CLPE17003;ROCHEFORT;17;CHARENTE-MARITIME;75;NOUVELLE-AQUITAINE;0.3933531106;0.2675415968;0.3894980447;0.2622384466;0.0038550659;0.0053031502;CLPE40003;CLPE29003;CLPE17006;CLPE17002;CLPE40002;CLPE24004;CLPE19001;CLPE22003;CLPE56003;CLPE65002
CLPE17004;ROYAN;17;CHARENTE-MARITIME;75;NOUVELLE-AQUITAINE;0.4014502307;0.274576081;0.3924653453;0.2688153317;0.0089848854;0.0057607493;CLPE85003;CLPE14003;CLPE24004;CLPE56001;CLPE83002;CLPE35003;CLPE22001;CLPE46003;CLPE33001;CLPE50003
CLPE17005;SAINT-JEAN-D'ANGÉLY;17;CHARENTE-MARITIME;75;NOUVELLE-AQUITAINE;0.3377249835;0.2236554113;0.3202422075;0.207990241;0.017482776;0.0156651703;CLPE21004;CLPE36003;CLPE61002;CLPE63002;CLPE16003;CLPE23001;CLPE29002;CLPE37003;CLPE24001;CLPE47003
CLPE17006;SAINTES;17;CHARENTE-MARITIME;75;NOUVELLE-AQUITAINE;0.3709752811;0.2475047431;0.3743539817;0.2500471043;-0.003378701;-0.002542361;CLPE40001;CLPE47001;CLPE22003;CLPE29003;CLPE19001;CLPE84003;CLPE79002;CLPE63004;CLPE24001;CLPE56003
CLPE18001;BOURGES;18;CHER;24;CENTRE-VAL DE LOIRE;0.3096156804;0.2028338157;0.3352281466;0.2216471378;-0.025612466;-0.018813322;CLPE16001;CLPE24003;CLPE58004;CLPE82002;CLPE89001;CLPE61003;CLPE71002;CLPE51001;CLPE26001;CLPE71001
CLPE18002;SAINT-AMAND-MONTROND;18;CHER;24;CENTRE-VAL DE LOIRE;0.2715407715;0.1779086779;0.3002767419;0.1992214837;-0.02873597;-0.021312806;CLPE23001;CLPE55002;CLPE58002;CLPE58003;CLPE18003;CLPE81003;CLPE70002;CLPE03003;CLPE36002;CLPE03002
CLPE18003;VIERZON;18;CHER;24;CENTRE-VAL DE LOIRE;0.2781096216;0.1804004751;0.2929763334;0.1918699948;-0.014866712;-0.01146952;CLPE10002;CLPE45002;CLPE10003;CLPE03001;CLPE02004;CLPE02002;CLPE71001;CLPE18002;CLPE88004;CLPE88001
CLPE19001;BRIVE LA GAILLARDE;19;CORRÈZE;75;NOUVELLE-AQUITAINE;0.3917614483;0.2634725915;0.3690668355;0.2469191539;0.0226946128;0.0165534375;CLPE40001;CLPE47001;CLPE56003;CLPE29003;CLPE64002;CLPE17006;CLPE79002;CLPE22002;CLPE50003;CLPE22003
CLPE19002;TULLE;19;CORRÈZE;75;NOUVELLE-AQUITAINE;0.3724971312;0.2405564272;0.3504848307;0.2329701703;0.0220123005;0.007586257;CLPE32002;CLPE86002;CLPE12003;CLPE40001;CLPE07003;CLPE24001;CLPE46002;CLPE19001;CLPE71003;CLPE19003
CLPE19003;USSEL;19;CORRÈZE;75;NOUVELLE-AQUITAINE;0.3707278014;0.2439209406;0.3359496105;0.2222832777;0.0347781909;0.0216376629;CLPE19002;CLPE12003;CLPE46002;CLPE71003;CLPE52001;CLPE07003;CLPE32002;CLPE87004;CLPE89002;CLPE65003
